	title	description
0	Bất động sản nghỉ dưỡng gặp khó vì thiếu hụt nhân lực du lịch	Ngành dịch vụ du lịch chỉ đáp ứng được 60% nhu cầu nhân sự khiến các nhà phát triển dự án nghỉ dưỡng Việt Nam đau đầu.
1	Bí quyết để Mộc Châu Milk trở thành 'chuyên gia bò sữa'	Các sản phẩm Mộc Châu Milk luôn giữ vẹn nguyên sự tươi ngon, hàm lượng dinh dưỡng cao cùng hương vị nguyên chất thuần khiết.
2	Thu phí bảo hiểm AIA qua Bản Việt vượt 80% kế hoạch sau một năm hợp tác	Hết 2018, tất cả các chi nhánh, phòng giao dịch của ngân hàng đều có doanh số phí bảo hiểm với gần 3.000 khách hàng tham gia.
3	Kiến trúc sư Italy mang âm hưởng La Mã vào kiến trúc dự án tại Sài Gòn	Giá trị tinh hoa của nền văn minh La Mã như mái vòm, cột trụ, hồ nước nóng, quảng trường, vườn treo... thể hiện rõ tại Rome by Diamond Lotus.
4	VIB miễn phí rút tiền qua ATM và phí chuyển tiền	Với chiến lược trở thành ngân hàng giao dịch hàng đầu, Ngân hàng Quốc tế (VIB) miễn toàn bộ các loại phí giao dịch thông dụng nhất.
5	Địa ốc Phú Long vào top thương hiệu mạnh Việt Nam	Doanh nghiệp nhận đánh giá cao về chiến lược nhân lực, công nghệ và chất lượng sản phẩm, dịch vụ trong năm 2018.
6	Giá vàng tuần này được dự báo tăng	Mỗi lượng biến động vài chục nghìn đồng tùy nơi, trong bối cảnh vàng thế giới tuần này được dự báo tăng.
7	VIB được vinh danh về ngân hàng số ba năm liên tiếp	Ngân hàng Quốc tế được đánh giá cao khi tối ưu hóa sản phẩm dịch vụ trong lĩnh vực ngân hàng số.
8	Cuộc sống thanh bình ở nơi rẻ nhất nước Mỹ	Beckley là trung tâm y tế, giáo dục của bang West Virginia, nơi có đời sống văn hóa, thể thao phong phú và giá nhà chỉ tầm 110.000 USD mỗi căn.
9	'Vua tương ớt' đối đầu với người Thái	Doanh nhân gốc Việt David Trần đang đối mặt với tham vọng chiếm lĩnh thị trường Mỹ của đối thủ mới đến từ Thái Lan.
10	Giới siêu giàu kín tiếng ở Đài Loan	Không khoe hàng hiệu hay đi máy bay hạng thương gia, giới siêu giàu Đài Loan kín tiếng tận hưởng cuộc sống và giữ tài sản ở nước ngoài.
11	Cuộc sống xa xỉ ở ‘bán đảo tỷ phú’	Thị trấn Saint-Jean-Cap-Ferrat nổi bật với cảng biển chật kín du thuyền, các biệt thự lâu đời và khách sạn siêu xa xỉ.
12	Thịt lợn tăng giá trở lại	Giá thịt lợn hơi tại hầu hết các tỉnh tăng 1.000 - 3.000 đồng một kg so với tháng 3 sau khi dịch tả lợn châu phi được khống chế.
13	Go-Jek được định giá 10 tỷ USD	"Ứng dụng gọi xe của Indonesia vừa bước vào hàng ngũ ""siêu kỳ lân"", tức startup được định giá từ 10 tỷ USD trở lên."
14	Bốn bí quyết kinh doanh của ông chủ Amazon	"Luôn khiến khách hàng hài lòng hay kiên định chiến lược... là hai trong số 4 chiến lược người giàu nhất hành tinh giúp Amazon ""trường tồn""."
15	S&P nâng xếp hạng tín nhiệm cho Việt Nam sau 9 năm	S&P đánh giá các chính sách của Chính phủ đã giúp Việt Nam ổn định kinh tế vĩ mô và tăng kiểm soát lạm phát những năm gần đây.
16	Shophouse Sài Gòn có thiết kế thang máy giá triệu USD	Shophouse 23-25 tỷ đồng, mặt tiền 10 m, có quy hoạch lắp thang máy tại một dự án ven sông Sài Gòn được các đại gia săn lùng.
17	Dấu hiệu bạn đang có sếp tệ	Sếp hứa hẹn quá nhiều, luôn gọi nhân viên trong ngày nghỉ phép hay tâm trạng thất thường không có lợi cho sự nghiệp của bạn. 
18	BIDV được vinh danh top 10 thương hiệu mạnh Việt Nam	Trong năm 2018, ngân hàng hoàn thành chỉ tiêu kinh doanh, nâng cao tài sản, cải tiến bộ máy, từ đó nhận sự tin tưởng của khách hàng, đối tác.
19	Quy mô tổng tài sản của Bảo Việt đạt mốc 5 tỷ USD	Doanh nghiệp dẫn đầu về quy mô tài sản trên thị trường bảo hiểm, với hơn 113.00 tỷ đồng tại thời điểm ngày 31/12/2018, tăng 23,8% so với cùng kỳ.
20	Ông Trump: Kinh tế Mỹ sẽ 'cất cánh' nếu Fed giảm lãi suất	Tổng thống Mỹ tiếp tục chỉ trích chính sách tiền tệ của Cục Dự trữ liên bang Mỹ (Fed), gây ảnh hưởng tăng trưởng kinh tế nước này. 
21	Ông Vũ Văn Tiền: 'Nhà thầu Trung Quốc cũng có nhiều loại'	Lãnh đạo Tập đoàn Geleximco cho rằng có hay không sử dụng các nhà thầu Trung Quốc không quan trọng, miễn họ cung cấp công nghệ cao, môi trường đảm bảo.
22	Nam Long công bố triển khai loạt khu đô thị quy mô gần 240ha	Các dự án gồm Nam Long Waterfront quy mô 170ha, Nam Long Đại Phước 45ha và Nam Long Hải Phòng là 21ha.
23	Nhật Bản thu hồi hơn 18.000 chai tương ớt từ Việt Nam	Nhà sản xuất Masan nói rằng khả năng số tương ớt Chin-su bị thu hồi là dành riêng cho thị trường Việt Nam, hoặc hàng không rõ xuất xứ.
24	Nhật Bản kiếm 5,8 tỷ USD từ mùa hoa anh đào thế nào?	600 điểm ngắm hoa anh đào nở năm nay trong vài tuần có thể mang về cho nền kinh tế Nhật Bản đến 5,8 tỷ USD.
25	Quỹ ngoại chuyển quyền sở hữu hàng chục triệu cổ phiếu VPBank, Masan	Gần 28 triệu cổ phiếu Masan đã được chuyển quyền sở hữu cho 5 cá nhân, trong khi cổ phiếu VPBank được sang tên 16,5 triệu đơn vị.
26	Hoàng Anh Gia Lai cải thiện thu hồi khoản nợ gần 7.600 tỷ đồng	Tổng giám đốc Võ Trường Sơn dẫn chứng nếu như cuối 2017 tập đoàn phải trích lập dự phòng cho các khoản vay thì đến nay đã hoàn nhập một phần.
27	Thủ tướng khen các siêu thị dùng lá chuối thay túi nylon	Lãnh đạo Chính phủ kêu gọi các doanh nghiệp cùng Chính phủ, xã hội nỗ lực giảm thiểu sử dụng túi nylon, rác thải nhựa. 
28	Việt Nam sắp có sàn thương mại điện tử về thiết bị công nghiệp	Sàn thương mại điện tử về thiết bị cơ khí, phụ tùng công nghiệp đầu tiên của Việt Nam dự kiến ra mắt vào tháng 7/2019.
29	Giá vàng miếng dao động quanh 36,4 triệu đồng	Mỗi lượng biến động vài chục nghìn đồng tùy nơi, trong bối cảnh giá thế giới giảm tuần thứ 2 liên tiếp.
30	Phó giám đốc Đại học Quốc gia làm Phó trưởng ban Kinh tế Trung ương	Ban Kinh tế Trung ương có Phó trưởng ban thứ 7, trong đó có 5 Phó trưởng ban chuyên trách. 
31	Chủ tịch TLM được vinh danh tại diễn đàn nữ lãnh đạo quốc tế	Bà Nguyễn Thị Thanh Tú, Chủ tịch kiêm Tổng giám đốc TLM ghi dấu ấn trên thị trường địa ốc và có nhiều đóng góp cho xã hội.
32	Vietjet khai trương 5 đường bay mới đến, đi từ Cần Thơ	Lễ khai trương các đường bay kết nối Cần Thơ với Hải Phòng, Vinh, Thanh Hoá, Nha Trang và Đà Lạt diễn ra dưới sự chứng kiến của Thủ tướng Nguyễn Xuân Phúc.
33	Viettel thu 12.400 tỷ đồng từ thị trường nước ngoài sau 3 quý	Riêng trong quý III, doanh thu thuần của Viettel Global là 4.428 tỷ đồng, biên lợi nhuận gộp cũng đạt trên 30%.
34	Mua nệm tặng drap, gối dịp kỷ niệm 65 năm thành lập Kymdan	Doanh nghiệp giảm 5% khi mua các sản phẩm nệm cao su thiên nhiên giá từ 25 triệu đồng, tặng thêm bộ drap và gối Kymdan cao cấp.
35	3 yếu tố thúc đẩy tiềm năng bất động sản Hạ Long	Quy hoạch hạ tầng đồng bộ, du lịch liên tục tăng trưởng và những sản phẩm chất lượng cao là lợi thế lớn nổi bật của khu vực.
36	Quỹ ngoại chuyển quyền sở hữu hàng chục triệu cổ phiếu VPBank, Masan	Gần 28 triệu cổ phiếu Masan đã được chuyển quyền sở hữu cho 5 cá nhân, trong khi cổ phiếu VPBank được sang tên 16,5 triệu đơn vị.
37	HDBank nhận hai giải thưởng lớn từ Asiamoney	Tạp chí kinh tế - tài chính hàng đầu châu Á đánh giá cao dịch vụ quản lý tiền mặt và tài trợ thương mại của ngân hàng.
38	Ngành tài chính toàn cầu chi hàng tỷ USD khai thác lợi ích của blockchain	Năm nay, các ngành ngân hàng, đầu tư, chứng khoán, bảo hiểm chi 1,1 tỷ USD cho ứng dụng chuỗi khối.
39	7 sai lầm tiền bạc Warren Buffett, Bill Gates không bao giờ có	Các tỷ phú hàng đầu như Warren Buffett hay Bill Gates không có những thói quen về tiền bạc sau đây, nhưng người thường thì rất dễ mắc phải.
40	Cổ phiếu lao dốc, ông chủ Tesla mất một tỷ USD chỉ trong 2 phút	Do doanh số giảm mạnh trong quý đầu tiên năm nay, giá cổ phiếu hãng xe điện Mỹ đã lao dốc 11% hôm qua.
41	An Biên Group giảm giá dịp khai trương showroom Yale thứ 2 tại TP HCM	
42	Đồ chơi - 'người bạn' thân thiết trong thế giới quan của trẻ	
43	IEC Quảng Ngãi tuyển dụng 200 nhân sự cho năm học đầu tiên	
44	Quang Hải tiếp tục là đại sứ thương hiệu của LG Việt Nam	
45	Lịch sử 60 năm và bước chuyển mình của thương hiệu loa JBL	
